STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,MEASURE,,UNIT_MEASURE,,VERSION,,TIME_PERIOD,,OBS_VALUE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,NOR,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.373485327,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,POL,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.385318041,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,PRT,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.871757984,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,SVK,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.33060503,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,SVN,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.322109699,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,ESP,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.430514097,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,SWE,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.54440546,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,CHE,,EPL_OV,,0_TO_6,,VERSION4,,2019,,1.606973529,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,TUR,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.949660778,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,GBR,,EPL_OV,,0_TO_6,,VERSION4,,2019,,1.901723742,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,USA,,EPL_OV,,0_TO_6,,VERSION4,,2019,,1.310865164,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,OECD,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.270739794,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,ARG,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.557883739,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,PRY,,EPL_OV,,0_TO_6,,VERSION4,,2019,,2.019664288,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,PER,,EPL_OV,,0_TO_6,,VERSION4,,2019,,1.803536057,,F,,2,,A,,0,
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),,I,A,,URY,,EPL_OV,,0_TO_6,,VERSION4,,2019,,0.984126985,,F,,2,,A,,0,
